filename,laptop_title,link_to_product,price,description
file_1.txt,"Acer Nitro 5 AN515-57-79TD Gaming Laptop | Intel Core i7-11800H | NVIDIA GeForce RTX 3050 Ti Laptop GPU | 15.6"" FHD 144Hz IPS Display | 8GB DDR4 | 512GB NVMe SSD | Killer Wi-Fi 6 | Backlit Keyboard
","https://www.amazon.com/Acer-AN515-57-79TD-i7-11800H-GeForce-Keyboard/dp/B09R65RN43/ref=sr_1_1?keywords=gaming+laptop&qid=1681322384&sr=8-1
",739,"['About this item\n', 'Dominate the Game: With the 11th Gen Intel Core i7-11800H processor, your Nitro 5 is packed with incredible power for all your games\n', ""RTX, It's On: The latest NVIDIA GeForce RTX 3050 Ti (4GB dedicated GDDR6 VRAM) is powered by award-winning architecture with new Ray Tracing Cores, Tensor Cores, and streaming multiprocessors support DirectX 12 Ultimate for the ultimate gaming performance\n"", 'Visual Intensity: Explore game worlds in Full HD detail on the 15.6"" widescreen LED-backlit IPS display with 1920 x 1080 resolution, 144Hz refresh rate and 80% screen-to-body, 16:9 aspect ratio\n', 'Internal Specifications: 8GB DDR4 3200MHz Memory (2 DDR4 Slots Total, Maximum 32GB); 512GB NVMe SSD (2 x PCIe M.2 Slots, 1 x 2.5"" Hard Drive Bay Available)\n', 'Prioritize Your Gameplay: Killer DoubleShot Pro with Ethernet E2600 and Killer Wi-Fi 6 1650 lets you use Wi-Fi and Ethernet at the same time, and have total control over priority traffic to maximize speed, throughput, and control\n', 'Stay Cool Under Pressure: When heavy use requires an added boost, Acer CoolBoost technology increases fan speed by 10% and CPU/GPU cooling by 9% compared to auto mode, overall increasing thermal performance by 25% for better gaming comfort\n', ""Take Control of Your Gaming Laptop: The NitroSense UI can be called up with the dedicated keyboard button so you can instantly visualize your PC's component temperature, fan speed, loading performance, power plan, and more\n""]"
file_10.txt,"ASUS TUF Dash 15 (2022) Gaming Laptop, 15.6"" 144Hz FHD Display, Intel Core i7-12650H, GeForce RTX 3060, 16GB DDR5, 512GB SSD, Thunderbolt 4, Windows 11 Home, Off Black, FX517ZM-AS73
","https://www.amazon.com/ASUS-Display-i7-12650H-Thunderbolt-FX517ZM-AS73/dp/B09RMH9B6F/ref=sr_1_6?keywords=gaming+laptop&qid=1681322384&sr=8-6
",Not available!,"['About this item\n', 'SUPERCHARGED RTX GRAPHICS - Gameplay graphics are silky smooth with the NVIDIA GeForce RTX 3060 6GB GDDR6 at 1050W with Dynamic Boost, with cutting-edge AI features like NVIDIA DLSS and Ray-Tracing\n', 'MUX SWITCH BOOST - A MUX Switch lets the GPU communicate directly with the display, increasing performance and decreasing latency\n', 'READY FOR ANYTHING - Use your gaming laptop to stream and multi-task with ease thanks to an  Intel Core i7-12650H Processor with 24MB Cache, up to 4.7 GHz, 10 cores (6 P-cores and 4 E-cores) and 16GB of blisteringly fast 4800MHz DDR5 RAM on Windows 11\n', 'SWIFT VISUALS – Stay one step ahead of the competition thanks to its 144Hz 15.6” Full HD (1920 x 1080) IPS Type Display\n', 'AMPLE STORAGE FOR ALL YOUR GAMES - Store all your game library, and load them fast on your 512GB PCIe NVMe M.2 SSD to take advantage of the full RTX gaming experience\n', 'STAY COOL - Dual Self cleaning Arc Flow fans with anti-dust technology extend system longevity\n', 'MILITARY GRADE TOUGHNESS - Durable MIL-STD-810H military standard lives in the TUF line as the devices are tested against drops, vibration, humidity and extreme temperatures to ensure reliability\n']"
file_11.txt,"Lenovo - 2022 - IdeaPad Gaming 3 - Essential Gaming Laptop Computer - 15.6"" FHD - 120Hz - IdeaPad Gaming RTX 3050 - 256GB NVMe Storage - NVIDIA GeForce RTX 3050 Graphics - Windows 11 Home
","https://www.amazon.com/Lenovo-IdeaPad-Essential-Computer-Graphics/dp/B09RND1LP2/ref=sr_1_7?keywords=gaming+laptop&qid=1681322384&sr=8-7
",789,"['About this item\n', 'Boost your gaming performance with the latest generation AMD Ryzen 6000 Series processors and a 15.6"" FHD IPS screen with 120Hz refresh rate\n', 'GeForce RTX 30 Series GPUs deliver the ultimate performance for gamers and creators, powered by Ampere - NVIDIA’s 2nd gen RTX architecture - with new RT Cores, Tensor Cores, and streaming multiprocessors for realistic ray-traced graphics and cutting-edge AI features\n', 'The signature Lenovo gaming keyboard comes with all the best media control and number pad features stocked out of the box\n', 'Excellent battery life lets you take this gaming laptop with you; use Rapid Charge to boost your battery by 40% in just 15 minutes\n', 'Stay connected: this Windows gaming laptop offers built-in WiFi and Bluetooth, two USB-A ports, one USB-C (DisplayPort 1.4, Power Delivery 3.0), HDMI 2.0, RJ45, and an audio jack\n']"
file_12.txt,"MSI Pulse GL66 15.6"" FHD 144Hz Gaming Laptop: Intel Core i7-12700H RTX 3070 16GB 512GB NVMe SSD, Type-C USB 3.2 Gen 1, RGB Gaming Keyboard, Cooler Boost 5, Win11 Home: Black 12UGKV-464
","https://www.amazon.com/MSI-Pulse-GL66-Gaming-Laptop/dp/B09RB9B7SD/ref=sr_1_8?keywords=gaming+laptop&qid=1681322384&sr=8-8
","1,232","['About this item\n', 'Powered Up: The 12th Gen. Intel Core i7 processor to deliver maximum efficiency in gameplay, Multi-task work and producTivity.\n', 'It All Starts Now: Enjoy the latest generation Windows 11 Home for your everyday needs. MSI recommends Windows 11 Pro for business use.\n', 'Ray-Tracing: The NVIDIA GeForce RTX 3070 Laptop GPU powered by the NVIDIA 2nd gen RTX architecture for the most realistic ray-traced graphics and cutting-edge AI features.\n', 'FHD Display: The 15.6” 144Hz FHD display delivers smooth refresh rate for seamless and vibrant gameplay.\n', 'High-Speed Data: SSD Gen 4x4 and DDR4-3200 memory for the fastest data transfer, system speed and responsiveness.\n']"
file_13.txt,"Bmax X14 Pro 14.1"" Laptop AMD Ryzen 5 3450U (up to 3.5GHz) 8GB DDR4 512GB SSD Gaming Laptop 1920x1080 FHD Thin Traditional Computers Expandable 1TB SSD, HDMI, BT, USB3.0, 2.4G/5G WiFi
","https://www.amazon.com/Bmax-1920x1080-Traditional-Computers-Expandable/dp/B0B9H5ZJ5T/ref=sr_1_9?keywords=gaming+laptop&qid=1681322384&sr=8-9
",399,"['About this item\n', '【Professional AMD Ryzen 5】X14Pro Win 10 Laptop features AMD R5-3450U. Up to turbo frequency 3.5GHz and 4-Core 8-Threds. It can always keep efficient running efficiency. High efficiency for work, online study or daily games.\n', '【Runs Smoothly without Waiting】Equipped with 8GB DDR4+512GB fast SSD.Extremely fast access to all data, videos or songs.Using a battery of 570000mWh large-capacity battery. Up to 7 hours of battery life, this laptop will provide a longer running time for you while working or traveling outside.\n', '【Narrow Bezel FHD IPS Display】X14Pro Windows laptop comes with 14.1” FHD plus 1920x1080 IPS display and 6mm Narrow Bezel , you can enjoy the ideal picture with bright, saturated and natural colors in any angles, and the AMD Radeon Vega 8 Graphics up to 1200MHz can perfectly run your favorite games and daily office.\n', '【Lightweight and Backlit keyboard】Weights only to 1.3kg, easily to put in your bags to carry on when going out.Edge to edge backlit keyboard can be use in low light environment such as dormitory, bedroom and study, especially suitable for the students when the school dormitory lights out.\n', '【What Extra Can You Get】2 Replaceable Plug(US,EU) comes together on your package, wisely meet all your connectivity needs when travel around, slim body makes it both portable and easy to carry. Comes with a worry-free 30-day return, 12 months of warranty and 7 days/ 24 hours friendly customer serving.\n']"
file_14.txt,"ASUS ROG Strix G15 (2022) Gaming Laptop, 15.6"" 300Hz IPS FHD Display, NVIDIA GeForce RTX 3050, AMD Ryzen 7 6800H, 16GB DDR5, 1TB SSD, RGB Keyboard, Windows 11 Home, G513RC-IS74,Gray
","https://www.amazon.com/ASUS-Display-GeForce-Keyboard-G513RC-IS74/dp/B0B9RZCFSR/ref=sr_1_10?keywords=gaming+laptop&qid=1681322384&sr=8-10
",Not available!,"['About this item\n', 'SUPERCHARGED RTX GRAPHICS - Gameplay graphics are silky smooth with the NVIDIA GeForce RTX 3050 4GB GDDR6 at 95W with ROG Boost, with cutting-edge AI features like NVIDIA DLSS and Ray-Tracing\n', 'MUX SWITCH BOOST - A MUX Switch lets the GPU communicate directly with the display, increasing performance and decreasing latency\n', 'ROG INTELLIGENT COOLING - a robust thermal system with Thermal Grizzly Liquid Metal Thermal Compound and self cleaning dual fans with anti-dust technology extend system longevity\n', 'READY FOR ANYTHING - Use your gaming laptop to stream and multi-task with ease thanks to an AMD Ryzen 7 6800H CPU with 20MB Cache, up to 4.7 GHz, 8 cores/16 threads and 16GB of blisteringly fast 4800MHz DDR5 RAM on Windows 11 Home\n', 'SWIFT VISUALS – Stay one step ahead of the competition thanks to its 300Hz/3ms 15.6” Full HD (1920 x 1080) IPS Type Display, which covers 100% sRGB color space\n', 'AMPLE STORAGE FOR ALL YOUR GAMES - Store all your game library, and load them fast on your 1TB PCIe NVMe M.2 SSD to take advantage of the full RTX gaming experience\n', 'AURA SYNC - 4-zone RGB Keyboard, RGB light bar, RGB Logo\n']"
file_15.txt,"Acer Nitro 5 AN517-55-72R4 Gaming Laptop | Intel Core i7-12700H | NVIDIA GeForce RTX 3050 Ti Laptop GPU | 17.3"" FHD 144Hz IPS Display | 16GB DDR4 | 1TB PCIe Gen 4 SSD | Killer Wi-Fi 6 | Red Backlit KB
","https://www.amazon.com/Acer-AN517-55-72R4-i7-12700H-GeForce-Display/dp/B089YCM116/ref=sr_1_11?keywords=gaming+laptop&qid=1681322384&sr=8-11
","1,299","['About this item\n', 'Dominate the Game: With the 12th Gen Intel Core i7-12700H processor, your Nitro 5 is packed with incredible power for all your games\n', ""RTX, It's On: The latest NVIDIA GeForce RTX 3050 Ti (4GB dedicated GDDR6 VRAM) is powered by award-winning architecture with new Ray Tracing Cores, Tensor Cores, and streaming multiprocessors support DirectX 12 Ultimate for the ultimate gaming performance\n"", 'Visual Intensity: With the sharp visuals of a 17.3” Full HD IPS display with a lightning-quick 144Hz refresh rate, your game sessions will be fluid, unbroken, and unmatched.\n', 'Internal Specifications: 16GB DDR4 3200MHz Memory (2 DDR4 Slots Total, Maximum 32GB); 1TB PCIe Gen 4 SSD (2 x PCIe M.2 Slots)\n', 'Prioritize Your Gameplay: Killer DoubleShot Pro with Ethernet E2600 and Killer Wi-Fi 6 1650 lets you use Wi-Fi and Ethernet at the same time, and have total control over priority traffic to maximize speed, throughput, and control\n', 'Chilled to Perfection: The newly refined chassis comes with a few extra tricks up its sleeve in the form of dual-fan cooling, dual-intakes (top and bottom), and a quad-exhaust port design.\n', ""Take Control of Your Gaming Laptop: The NitroSense UI can be called up with the dedicated keyboard button so you can instantly visualize your PC's component temperature, fan speed, loading performance, power plan, and more\n""]"
file_16.txt,"Acer Nitro 5 AN515-58-525P Gaming Laptop | Intel Core i5-12500H | NVIDIA GeForce RTX 3050 Laptop GPU | 15.6"" FHD 144Hz IPS Display | 8GB DDR4 | 512GB PCIe Gen 4 SSD | Killer Wi-Fi 6 | Backlit Keyboard
","https://www.amazon.com/Acer-AN515-58-525P-i5-12500H-GeForce-Keyboard/dp/B0BSLVLS4P/ref=sr_1_12?keywords=gaming+laptop&qid=1681322384&sr=8-12
",799,"['About this item\n', 'Dominate the Game: With the 12th Gen Intel Core i7-12500H processor, your Nitro 5 is packed with incredible power for all your games.\n', ""RTX, It's On: The latest NVIDIA GeForce RTX 3050 (4GB dedicated GDDR6 VRAM) is powered by award-winning architecture with new Ray Tracing Cores, Tensor Cores, and streaming multiprocessors support DirectX 12 Ultimate for the ultimate gaming performance.\n"", 'Picture-Perfect. Furiously Fast: With the sharp visuals of a 15.6” Full HD IPS display with a lightning-quick 144Hz refresh rate, your game sessions will be fluid, unbroken, and unmatched.\n', 'Internal Specifications: 8GB DDR4 3200MHz Memory (2 DDR4 Slots Total, Maximum 32GB); 512GB PCIe Gen 4 SSD (2 x PCIe M.2 Slots, 1 x 2.5"" Hard Drive Bay Available)\n', 'Killer Connectivity: Get an edge on-line by taking control of your network and prioritizing your gameplay with Killer Ethernet E2600 and Killer Wi-Fi 6 AX1650.\n', 'Chilled to Perfection: The newly refined chassis comes with a few extra tricks up its sleeve in the form of dual-fan cooling, dual-intakes (top and bottom), and a quad-exhaust port design.\n', 'Ports For All Your Accessories: USB Type-C Port USB 3.2 Gen 2 (up to 10 Gbps) DisplayPort over USB Type-C, Thunderbolt 4 & USB Charging, USB 3.2 Gen 2 Port (Featuring Power-off Charging), USB 3.2 Gen 2 port, USB 3.2 Gen 1 port, HDMI 2.1 Port with HDCP support, Headphone/Speaker/Line-out Jack, Ethernet (RJ-45), DC-in for AC adapter\n', 'The Right Fit: 14.19"" W x 10.67"" D x 1.06"" H; 5.51 lbs.; One-Year International Travelers Limited Warranty (ITW\n']"
file_17.txt,"MSI GV15 15.6"" 144Hz Gaming Laptop: Intel Core i5-11400H GTX 1650 8GB 256GB NVMe SSD, Wi-Fi 6, USB Type-C, Nahimic 3 Audio Immersion, Win 11: Black 11SC-633
","https://www.amazon.com/MSI-GV15-144Hz-Gaming-Laptop/dp/B09S4NBX1Z/ref=sr_1_13?keywords=gaming+laptop&qid=1681322384&sr=8-13
",679,"['About this item\n', ""Powered by Intel's 11th Gen 6-Core CPU: With PCIe Gen4 performance and DDR4 memory with speeds of 3200MHz, the Intel i5-11400H 6-Core processor is able to ensure a smooth and productive experience.\n"", 'It All Starts Now: Enjoy the latest generation Windows 11 Home for your everyday needs. MSI recommends Windows 11 Pro for business use.\n', 'Equipped With NVIDIA GeForce GTX 1650 Series Graphics: Powered by Turing NVIDIA’s award-winning architecture, It’s a supercharger for today’s most popular games, and even faster with modern titles.\n', 'Stay Cool & Quiet: Fine-tuned to be noticeably quieter and cooler under load, easily blending into any environment.\n']"
file_18.txt,"HP 2022 Victus 15 Gaming Laptop, 15.6"" FHD 144Hz Micro-Edge Display, AMD Ryzen 7 5800H(up to 4.4GHz), Nvidia RTX 3050Ti (32GB RAM | 1TB SSD)
","https://www.amazon.com/HP-Victus-Gaming-Micro-Edge-Display/dp/B0BJPTXMY2/ref=sr_1_14?keywords=gaming+laptop&qid=1681322384&sr=8-14
",969,"['About this item\n', '【Processor】AMD Ryzen 7 5800H, 8 Cores, 16 Threads, Up to 4.4GHz Max Boost Clock, 16MB Cache, AMD Radeon Graphics, 8 Graphics Core Count. The Zen3 architecture delivers unprecedentedly powerful performance to help you win with ease.\n', '【Graphics Card】NVIDIA Geforce RTX 3050Ti, 2560 CUDA Cores, 1035 - 1695 MHz Boost Clock, 4GB GDDR6, More powerful CUDA cores and ray tracing performance for both gaming and video editing.\n', ""【Display】15.6'' diagonal, FHD (1920 x 1080), 144 Hz, 9 ms response time, IPS, micro-edge, anti-glare, 250 nits. Significantly improve the smoothness of game graphics and reduce FPS game lag.\n"", '【Upgraded to 32GB DDR4-3200Mhz DDR4】Substantial high-bandwidth RAM to smoothly run your games and photo- and video-editing applications, as well as multiple programs and browser tabs all at once.\n', '【Upgraded to 1TB PCIe NVMe SSD】Get up to 15x faster performance than a traditional hard drive, Super fast system startup and game loading speed, effectively reducing system lag and delay.\n', 'System ram type: ddr4_sdram\n', 'Wireless communication technology: Wi-Fi\n']"
